frame_number,vehicle_id,vehicle_bounding_box,license_plate_bounding_box,license_plate_bounding_box_accuracy,license_number,license_number_accuracy
0,1,683.1661376953125 204.93594360351562 1192.3355712890625 600.6697998046875,818.7521362304688 462.7349853515625 951.45068359375 502.27642822265625,0.762476921081543,29A32485,0.5220088541579685
1,1,670.1570307742236 203.2301854145493 1184.8146244675136 603.5421895055661,810.5771484375 463.6960144042969 939.0206909179688 502.1045837402344,0.751823365688324,79A33185,0.6838586093056725
2,1,659.2234500126626 200.57273568716937 1179.8488835239505 605.6805436560568,799.0274353027344 465.00999450683594 931.6186828613281 504.94158935546875,0,0,0
3,1,648.2898692511015 197.9152859597894 1174.8831425803874 607.8188978065475,787.4777221679688 466.323974609375 924.2166748046875 507.7785949707031,0.7411392331123352,29A33185,0.47151157599498944
4,1,635.8553070034444 197.22840805133944 1169.4473182037318 611.3702828597009,777.2872314453125 468.3345642089844 914.7578735351562 509.94261169433594,0,0,0
5,1,623.4207447557873 196.54153014288948 1164.0114938270763 614.9216679128542,767.0967407226562 470.34515380859375 905.299072265625 512.1066284179688,0.719756007194519,29A33185,0.3620898922111039
6,1,610.4078322170812 195.264526468572 1158.460439320944 619.1531872717735,754.7446899414062 473.0375061035156 892.9986572265625 513.69970703125,0.722679853439331,29A33185,0.7090194304306403
7,1,596.9442832528763 193.5188889918032 1152.4635768626345 623.138756203931,740.0445556640625 474.0632019042969 884.2673950195312 518.34716796875,0.7473239302635193,29A33185,0.2122491843027064
8,1,581.9233441017589 192.20298319199037 1146.01111729879 627.8290233371098,728.599365234375 477.2633056640625 872.8086547851562 523.3487548828125,0.7724313735961914,29A33185,0.38448976025389375
9,1,564.1958131703045 191.10080436596147 1137.9905793387393 631.9329475177765,716.4862060546875 478.27386474609375 860.3594970703125 525.9855346679688,0.7757397294044495,29A33185,0.5825409358229484
10,1,546.8806699538206 187.9114858968664 1131.9057344039009 635.178416193382,700.450927734375 480.8382568359375 851.1470947265625 527.3843994140625,0.7767272591590881,29A33185,0.3726312928798834
11,1,533.3412964947094 186.00180067208458 1126.9905277271237 639.2458950173498,683.0036010742188 483.9876708984375 835.2404174804688 528.4012451171875,0.7739481925964355,29A33185,0.6222855489384214
