                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96647,                0.37117,                 1.2104,                0.99163,                0.99533,                 0.9949,                0.73149,                 1.0639,                0.35816,                 1.3615,              0.0033253,              0.0033253,              0.0033253
                      2,                0.98994,                0.38822,                 1.2196,                0.99457,                0.98883,                 0.9938,                  0.723,                 1.0746,                0.37406,                 1.3822,              0.0065927,              0.0065927,              0.0065927
                      3,                 1.0251,                0.41775,                 1.2454,                0.99098,                0.98826,                0.99309,                0.72106,                 1.0906,                0.41983,                 1.3977,              0.0097941,              0.0097941,              0.0097941
                      4,                 1.0568,                0.44702,                 1.2769,                0.98895,                  0.991,                0.99408,                0.71683,                 1.0994,                0.41313,                 1.4027,               0.009703,               0.009703,               0.009703
                      5,                 1.0558,                0.45228,                 1.2734,                0.99164,                 0.9892,                0.99401,                0.71827,                 1.0911,                 0.4007,                 1.4101,               0.009703,               0.009703,               0.009703
                      6,                 1.0616,                0.44997,                 1.2714,                0.99299,                 0.9892,                0.99331,                0.72223,                 1.0738,                0.40682,                 1.3824,               0.009604,               0.009604,               0.009604
                      7,                 1.0562,                 0.4433,                  1.274,                0.99474,                 0.9874,                0.99411,                0.71596,                 1.1027,                 0.4118,                 1.4115,               0.009505,               0.009505,               0.009505
                      8,                 1.0533,                0.44831,                 1.2742,                0.98594,                 0.9904,                0.99204,                0.71872,                 1.0802,                0.41106,                 1.3901,               0.009406,               0.009406,               0.009406
                      9,                 1.0522,                  0.447,                  1.263,                0.99501,                 0.9892,                0.99381,                0.72033,                 1.0783,                0.41227,                 1.3864,               0.009307,               0.009307,               0.009307
                     10,                 1.0596,                0.44876,                 1.2717,                0.98804,                0.99105,                0.99437,                0.72815,                 1.0805,                0.40035,                 1.3857,               0.009208,               0.009208,               0.009208
